POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,POLYMER_PSMILES,DRUG_SMILES
PVA,tetracycline,3,100,8.55,DOI:10.2478/eces-2021-0021,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
PVA,tetracycline,3,800,75.5,DOI:10.2478/eces-2021-0021,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
ammonium polymer,nitrate,NaN,361.5,0.8496,Rahayu et al. (2025) Ecological Engineering & Environmental Technology 26(3) 54-69,,
nylon-gelatin-hematite,NaCl,NaN,NaN,1.708,This work,,
Gelatin-Pluronic F127-hexagonal hematite,Ibuprofen,NaN,NaN,55,Ref. [8],,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
nonwoven polypropylene and polyethylene geotextile,Hg(II),5.5,1,7,Science of the Total Environment 741 (2020) 140411,,
nonwoven polypropylene and polyethylene geotextile,Hg(II),5.5,20,101.31,Science of the Total Environment 741 (2020) 140411,,
MgFe2O4-PANI-NC,Methyl Red,NaN,NaN,98.04,Das and Debnath 2023,,
PVA-MH,Cd(II),NaN,NaN,13.8,Karlıdağ et al. 2024,,[Cd+2]
poly(methacrylic acid) MIP,bisphenol A,NaN,NaN,491,[75],,
GG/PVA/WO3 (Set 1),Methyl violet,NaN,NaN,0.0375,Table 4,,
GG/PVA/WO3 (Set 2),Methyl violet,NaN,NaN,0.0149,Table 4,,
GG/PVA/WO3 (Set 3),Methyl violet,NaN,NaN,0.0173,Table 4,,
Polydopamine + polysulfone,Cu(II),NaN,NaN,4.5,18,,
Chitosan + MnFe oxides,As(V),NaN,NaN,27,23,,
Conducting PPy,Ni,7.0,1,NaN,97,,
Conducting PPy,Ni,12.0,100,NaN,100,,
Conducting PPy,As(III),NaN,5,NaN,106,,
PPy particles with acetonitrile,Cd(II),6.6,NaN,71.4,107,,[Cd+2]
PPy particles with acetonitrile,Co(II),6.6,NaN,70.04,107,,
PPy–PVP,Cd(II),5,62.36,NaN,108,,[Cd+2]
PPy–PVA,Cd(II),5,62.36,NaN,108,,[Cd+2]
PPy–SD,Zn(II),3.0,100,NaN,62,,
PPy–SD,Cr(VI),5.0,100,3.4,109,,
Polypyrrole functionalized chitin,Cr(VI),4.8,50,NaN,110,,
PPy-g-chitin,Pb(II),6.0,10,9.14,58,,[Pb+2]
PPy-g-chitin,Cd(II),6.0,10,6.49,58,,[Cd+2]
PPy-glycine doped composites,Cr(VI),2.0,NaN,217,38,,
Bamboo-like PPy nanotubes,Cr(VI),2.0,NaN,482.6,114,,
PANI–PPy copolymer,Co(II),7.0,100,NaN,9,,
PPy/g-Fe2O3,Cr(VI),2.0,NaN,209,118,,
PPy/g-Fe2O3,Cu(II),5.5,NaN,171,118,,
PPy-OMMTNC,Cr(VI),2.0,NaN,119.34,123,,
PPy/SH-beta/MCM-41,Hg(II),8.0,400,157.43,49,,
PANI/PPy/HMS,Cd(II),8.0,50,384.61,129,,[Cd+2]
Hierarchical porous PPy-nanoclusters,Cr(VI),5.0,NaN,3.47,2,,
PPy–SD,Cr(VI),NaN,328,NaN,62,,
PPy–SD,Ni,NaN,32.5,NaN,62,,
PPy–SD,Zn(II),NaN,15.2,NaN,62,,
Chitosan-modified flax shive,Reactive Red 228,NaN,10,8.87,Feng et al. 2012,,
Chitosan-modified flax shive,Reactive Red 228,NaN,20,11.38,Feng et al. 2012,,
Chitosan-modified flax shive,Reactive Red 228,NaN,30,12.88,Feng et al. 2012,,
Chitosan-modified flax shive,Reactive Red 228,NaN,40,13.99,Feng et al. 2012,,
poly(acrylic acid) hydrogel beads,Pb(II),6.3,NaN,113.43,20,,[Pb+2]
n-butyl acrylate-grafted chitosan,Cr(VI),3.5,20,17.15,47,,
sodium alginate-graft-poly(methyl methacrylate) (Alg-g-PMMA) beads,Pb(II),4.0,NaN,526,43,,[Pb+2]
Cellulose and Paper Sludge,Methyl Orange,8,50,20.53,Chaukura; Murimba; Gwenzi (2016),,
carboxymethyl cellulose- acrylic acid,Methyl orange,NaN,NaN,84.2,42,,
carboxymethyl cellulose- acrylic acid,Disperse blue,7.0,NaN,79.6,42,,
carboxymethyl cellulose- acrylic acid,Malachite green chloride,9.0,NaN,99.9,42,,
partially hydrolyzed polyacrylamide/cellulose nanocrystal,Methylene blue,5.0,NaN,326.08,43,,
Cellulose Agricultural Wastes,Violet B,11,NaN,96,44,,
IPN Hydrogels based Carboxymethyl Cellulose,Basic fuchsin,7,NaN,2.249,46,,
IPN Hydrogels based Carboxymethyl Cellulose,Methyl violet,NaN,NaN,1.723,46,,
Bacterial Cellulose,Direct blue 71,3,NaN,25.15,48,,
Plant Cellulose,Direct blue 71,NaN,NaN,22.00,48,,
Cellulose modified with quaternary ammonium groups,Reactive red 228,3,NaN,190.00,49,,
Cellulose modified with aminoethanethiol,Reactive red 2,NaN,NaN,78.00,12,,
Cellulose modified with aminoethanethiol,Reactive red 2,9,NaN,26.00,12,,
Surface quaternized cellulose,Congo red,NaN,NaN,664.00,50,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Surface quaternized cellulose,Acid green 25,NaN,NaN,683.00,50,,
Cellulose-based multicarboxyl adsorbent,Malachite green,6,NaN,458.72,51,,
Cellulose-based multicarboxyl adsorbent,Basic fuchsine,6.5,NaN,458.76,51,,
Nano-cellulose hybrid,Yellow B-4RFN,7,NaN,16.61,29,,
Nano-cellulose hybrid,Blue B-RN,NaN,NaN,14.40,29,,
Magnetic cellulose beads,Methyl orange,NaN,NaN,0.045,53,,
Magnetic cellulose beads,Methylene blue,NaN,NaN,0.030,53,,
Modified cellulose with triazine derivatives,Reactive blue BF-RN,7,NaN,20.00,30,,
Unmodified cellulose,Reactive blue BF-RN,NaN,NaN,9.00,30,,
chitosan,methylene blue,6.2,20,14.02,Priyanga et al. 2026,,
chitosan,methylene blue,6.2,40,21.08,Priyanga et al. 2026,,
chitosan,methylene blue,6.2,60,17.48,Priyanga et al. 2026,,
chitosan,methylene blue,5.8,NaN,16.07,Priyanga et al. 2026,,
chitosan,methylene blue,6.2,NaN,13.81,Priyanga et al. 2026,,
chitosan,methylene blue,7.8,NaN,13.87,Priyanga et al. 2026,,
chitosan,methylene blue,5.2,NaN,15.86,Priyanga et al. 2026,,
chitosan,methylene blue,7.2,NaN,16.19,Priyanga et al. 2026,,
chitosan,methylene blue,NaN,40,21.2,Priyanga et al. 2026,,
Cellulose,phenol,NaN,30.082,15.208,This study,,
Agarose beads embedded-chitosan,IgG,NaN,NaN,71.4,"""Sun",,
poly(HEMA-VPBA),IgG,8.0,NaN,0.13,"""Saylan",,
"""acrylamide","MBAAm""","""Albumin",serotransferrin,"globulins""",NaN,,
poly-acrylamide-expanded perlite,UO2^2+,NaN,NaN,0.66,[40],,
poly-2-hydroxyethylmethacrylate-expanded perlite,UO2^2+,NaN,NaN,0.29,[41],,
Chitosan-coated perlite,Ostazin black,NaN,NaN,0.03,[54],,
Chitosan-coated perlite,Phenol,NaN,NaN,2.04,[64],,
Chitosan-coated perlite,2-chlorophenol,NaN,NaN,2.04,[64],,
Chitosan-coated perlite,4-chlorophenol,NaN,NaN,2.50,[64],,
poly-acrylamide-expanded perlite,208Tl,NaN,NaN,0.4,[42],,
poly-acrylamide-expanded perlite,212Pb,NaN,NaN,0.3,[42],,
poly-acrylamide-expanded perlite,212Bi,NaN,NaN,0.3,[42],,
poly-acrylamide-expanded perlite,228Ac,NaN,NaN,0.1,[42],,
poly-acrylamide-expanded perlite,226Ra,NaN,NaN,0.04,[42],,
Chitosan-modified AC,Methyl orange,NaN,NaN,168,[74],,
Chitosan-added watermelon pulp,Congo red,NaN,NaN,490.1,[36],,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
WMR chitosan functionalized,Cu(II),6,NaN,49.14,Bamisaye et al. (2024),,
calcium alginate,methylene blue,NaN,NaN,181.81,53,,
hydrolyzed polyacrylamide grafted xanthan gum,methylene blue,NaN,30,497.5,57,,
Chitosan/TiFe-LDH,Cd(II),8.5,NaN,98,"""(Mahmoud et al.",,[Cd+2]
Lignin-chitosan blend,Methylene blue,7.0,10,13.5,,,
Lignin-chitosan blend,Methylene blue,7.0,20,30.4,,,
Lignin-chitosan blend,Methylene blue,7.0,50,85.3,,,
Lignin-chitosan blend,Methylene blue,7.0,100,156.2,,,
*   **Polymers:** Polystyrene (PS),functionalized Graphene Oxide (fGO),and Polypyrrole (PPy).,,,,,
Bacterial Cellulose Aerogel,Methylene Blue,7.0,50,24.5,,,
Bacterial Cellulose Aerogel,Methyl Orange,7.0,50,15.1,,,
CS/PVA sponge,Diclofenac,3.0,10,2.42,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
CS/PVA sponge,Diclofenac,3.0,20,4.35,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
CS/PVA sponge,Diclofenac,3.0,50,7.82,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
CS/PVA sponge,Diclofenac,3.0,100,11.45,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
Chitosan,Pb(II),5.0,10,15.2,,,[Pb+2]
poly(acrylamide-co-maleic acid),Diclofenac,4.0,50,128.5,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(acrylamide-co-maleic acid),Ibuprofen,4.0,50,44.2,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
poly(acrylamide-co-maleic acid),Diclofenac,4.0,100,112.3,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(acrylamide-co-maleic acid),Diclofenac,4.0,150,98.7,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
Polyaniline,Methyl Orange,3,50,46.43,,,
*   **Polymer:** Polyimine-based porous organic polymer (synthesized from 1,3,5-tris(4-aminophenyl)benzene and terephthalaldehyde),,,,,
Chitosan-calcite,Phosphate,7.0,1.0,3.0,,,
Chitosan-calcite,Phosphate,7.0,10.0,18.0,,,
Chitosan-calcite,Phosphate,7,50.0,45.0,,,
Chitosan-calcite,Phosphate,4.0,10.0,5.0,,,
Chitosan-calcite,Phosphate,9.0,10.0,2.0,,,
CS/Alg cryogel,Tetracycline,6.0,10,48.27,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
CS/Alg cryogel,Tetracycline,6.0,20,55.41,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
CS/Alg cryogel,Tetracycline,6.0,30,62.15,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
CS/Alg cryogel,Tetracycline,6.0,40,68.52,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
CS/Alg cryogel,Tetracycline,6.0,50,74.30,,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
CS/Alg cryogel,Ciprofloxacin,6.0,5,21.50,,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CS/Alg cryogel,Ciprofloxacin,6.0,10,26.80,,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CS/Alg cryogel,Ciprofloxacin,6.0,20,35.20,,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CS/Alg cryogel,Ciprofloxacin,6.0,30,42.90,,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CS/Alg cryogel,Ciprofloxacin,6.0,40,49.50,,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
CS/PVA hydrogel,Ibuprofen,3.0,50,12.5,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,4.0,50,15.2,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,50,17.6,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,6.0,50,14.3,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,7.0,50,10.8,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,10,2.8,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,20,6.5,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprifen,5.0,30,10.2,,,
CS/PVA hydrogel,Ibuprofen,5.0,40,13.9,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,60,21.3,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,70,25.0,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,80,28.7,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,90,32.4,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CS/PVA hydrogel,Ibuprofen,5.0,100,36.1,,,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
poly(acrylamide-co-acrylonitrile) sponge functionalized with carboxylic acid groups,Diclofenac,3.0,2,3.5,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(acrylamide-co-acrylonitrile) sponge functionalized with carboxylic acid groups,Diclofenac,3.0,5,8.0,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(acrylamide-co-acrylonitrile) sponge functionalized with carboxylic acid groups,Diclofenac,3.0,10,15.0,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(acrylamide-co-acrylonitrile) sponge functionalized with carboxylic acid groups,Diclofenac,3.0,20,20.0,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(acrylamide-co-acrylonitrile) sponge functionalized with carboxylic acid groups,Diclofenac,3.0,50,24.0,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,10,0.38,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,20,0.42,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,30,0.45,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,40,0.49,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,50,0.52,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,60,0.55,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,70,0.59,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,80,0.62,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,90,0.65,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
poly(styrene-co-acrylonitrile) sponge,diclofenac,7.0,100,0.68,,,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
polyacrylamide-grafted sodium alginate,Methylene Blue,7,10,9.42,,,
polyacrylamide-grafted sodium alginate,Methylene Blue,7,20,17.55,,,
polyacrylamide-grafted sodium alginate,Methylene Blue,7,50,39.86,,,
polyacrylamide-grafted sodium alginate,Methylene Blue,7,100,75.12,,,
Calcined Mg/Al-layered double hydroxides/polyaniline composites,Cr(VI),2,NaN,409.77,Li et al. (2021),,
Chitosan–pectinase blend,Methylene blue,7,NaN,16.81,47,,
Magnetic chitosan/organic rectorite,Methylene blue,6,NaN,24.69,48,,
Activated lignin-chitosan pellets,Methylene blue,7,NaN,36.25,49,,
Chitosan/EPS composite,Methylene blue,6,NaN,14.26,This work,,
Chitosan,Methylene blue,7,NaN,13.70,This work,,
hydrogel-II,Pb(II),6.0,10,42.2,Table 1,,[Pb+2]
hydrogel-II,Pb(II),6.0,5,24.5,Table 2,,[Pb+2]
hydrogel-II,Pb(II),6.0,20,60.5,Table 2,,[Pb+2]
Potassium carrageenan,Methylene Blue,6.5,NaN,168.10,Hassan2023,,
chitosan powder,DO 2GL,5.50,50,24.955,Purifarma Chemistry & Pharmaceutical Brazil-SP,,
chitosan powder,DO 2GL,6.50,50,24.615,Purifarma Chemistry & Pharmaceutical Brazil-SP,,
Cellulose dinitrobenzoate,Creatinine,7,NaN,3.64,Dai et al. (2015),,
Cross-linked quaternary chitosan (powder),Reactive orange 16,4,1000,1060,[26],,
PVA/CMC/GEL,Rhodamine B,10,10,2.8,https://doi.org/10.21203/rs.3.rs-1191111/v1,,
CS-PAN,Acid Red,3,NaN,7.0e-5,10.15407/hftp08.01.044,,
CS-PAN,Acid Orange,3,NaN,9.8e-5,10.15407/hftp08.01.044,,
CS-PAN,Acid Red,3,200,5.0e-5,10.15407/hftp08.01.044,,
CS-PAN,Acid Orange,3,200,7.6e-5,10.15407/hftp08.01.044,,
PANI–NiFe2O4,malachite green,7,30,4.09,NaN,,
PANI–NiFe2O4,malachite green,7,60,6.81,NaN,,
PANI–NiFe2O4,malachite green,7,90,8.62,NaN,,
Alginate,Hg(II),6,NaN,1.553,Lestari et al. 2022,,
Alginate,Hg(II),6,10,1.786,Lestari et al. 2022,,
Alginate,Hg(II),NaN,10,2.880,Lestari et al. 2022,,
Alginate,Hg(II),NaN,250,62.067,Lestari et al. 2022,,
Alginate,Hg(II),6,300,74.121,Lestari et al. 2022,,
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel a),As(V),7,100,22.11,Table 2,,
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel b),As(V),7,100,20.30,Table 2,,
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel c),As(V),7,100,15.37,Table 2,,
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel d),As(V),7,100,15.98,Table 2,,
Polyacrylamide cryogel containing iron hydroxide oxide particles (Gel e),As(V),7,100,14.29,Table 2,,
Pani-Bent,RR-2,5,NaN,140.8,This study,,
Pani-Bent,RR-2,9,NaN,120.8,This study,,
Pani-Bent,RR-2,7,NaN,131.4,This study,,
Pani-Bent,RR-2,7,250,131.4,This study,,
Pani-Bent,RR-2,7,500,220.8,This study,,
chitosan-coated Fe-Cu CNS alginate-CMC beads,norfloxacin,6,NaN,354.9,NaN,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
alginate/chitosan composite hydrogel spheres,norfloxacin,6,200,310.6,Tang et al.,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
poly(LIM-co-DVB-co-AcM),Methylene blue,7,NaN,54.2,This work,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,2.0,1000,335.3,Figure 8a,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4.0,1000,426.6,Figure 8a,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,5.0,1000,412.5,Figure 8a,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,10.0,1000,175.4,Figure 8a,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4.0,100,113.4,Figure 8c,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4.0,2000,501.6,Figure 8c,,
Poly(HEMA-GMA)-PLL-Cu(II),Acid Blue 113,4.0,5000,506.2,Figure 8c,,
Poly(HEMA-GMA),Acid Blue 113,4.0,2000,126.7,Figure 8e,,
Poly(HEMA-GMA)-PLL,Acid Blue 113,4.0,2000,213.9,Figure 8e,,
Poly(St-co-EGDMA) @poly(4-vinylpri-dine-co-EGDMA) composite,Tartrazine,3.0,200,NaN,[137],,
cellulose extracted from wheat residues (WC),Tartrazine,NaN,NaN,2.31,[64],,
modified wheat residue cellulose (MWC),Tartrazine,NaN,NaN,18.85,[64],,
PA6/PPy NFM,atrazine,NaN,1,0.33,Yang et al. 2015,,
PA6/PPy NFM,atrazine,NaN,10,3.2,Yang et al. 2015,,
PA6/PPy NFM,atrazine,3,10,1.36,Yang et al. 2015,,
PA6/PPy NFM,atrazine,11,10,2.57,Yang et al. 2015,,
PA6/PPy NFM,atrazine,7,10,2.18,Yang et al. 2015,,
PA6/PPy NFM,atrazine,NaN,200,14.8,Yang et al. 2015,,
Bacterial nanocellulose-based hydrogel,Tetracycline,7,50,59.52,Bacillus subtilis W7,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Bacterial nanocellulose-based hydrogel,Tetracycline,NaN,80,75.24,Bacillus subtilis W7,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Metal-alginate particles crosslinked with Zn2+,Ciprofloxacin,7.0,21,0.1–1.5,928.6,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Metal-alginate particles crosslinked with Zn2+,Doxycycline,NaN,NaN,0.1–2.5,690.0,,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Metal-alginate particles crosslinked with Zn2+,Amoxicillin,NaN,NaN,0.05–1,1.20,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
Metal-alginate particles crosslinked with Fe3+,Ciprofloxacin,NaN,NaN,0.1–1.5,356.5,,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Metal-alginate particles crosslinked with Fe3+,Doxycycline,NaN,NaN,0.1–2.5,90.00,,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Metal-alginate particles crosslinked with Fe3+,Amoxicillin,NaN,NaN,0.05–1,11.50,,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
Bacterial cellulose/chitosan -MIL- 100(Fe),Dacarbazine,4.2,25,NaN,340.0,,
Calcium phosphate-chitosan,Tetracycline,11.0,25,0–500,223.8,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Hybrid spheres of alginate/geopolymer,Fluorouracil,7.8,NaN,0.10–20,6.28,,
Calcium alginate/chitosan hydrogel spheres,Norfloxacin,6.5,25,25–200,310.6,,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Polyethylenimine-grafted crosslinked chitosan spheres,Sodium diclofenac,5.0,35,50–200,253.3,,
Amino hydroxyapatite/chitosan hybrids crosslinked with glutaraldehyde,Sodium diclofenac,6.0,25,NaN,139.5,,
NH2-PAA/Alginate,Cd(II),6.0,NaN,176.5,Table 3,,[Cd+2]
cellulose citrate,methylene blue,6.2,30,26.86,10.1039/d1ra05464c,,
Polyethylene glycol,Ni,1.2,0.7008,3.285,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Fe,1.2,19.533,92.43,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Cu,1.2,1.3909,6.949,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Pb,1.2,2.3508,10.73,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Cd,1.2,0.0408,0.169,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Ni,NaN,NaN,164.51,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Fe,NaN,NaN,176.82,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Cu,NaN,NaN,195.41,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Cd,NaN,NaN,182.49,https://doi.org/10.21203/rs.3.rs-374698/v1,,
Polyethylene glycol,Pb,NaN,NaN,168.17,https://doi.org/10.21203/rs.3.rs-374698/v1,,
PPy-MIP,17β-estradiol,7.0,25,82.6,NaN,,
Algae-modified alginate beads,Cd(II),NaN,NaN,181.0,[11],,[Cd+2]
Alginate-EDTA microcapsules,Cd(II),NaN,NaN,0.0301,[10],,[Cd+2]
Alginate film (A-F-2%),Cd(II),4.5,NaN,84.5,[9],,[Cd+2]
Calcium alginate-PVA beads,Cd(II),4,NaN,33.90,[12],,[Cd+2]
PPy,Metronidazole,6.17,10,0.95,https://doi.org/10.1007/s40090-019-0190-7,,CC1=NC=C(N1CCO)[N+](=O)[O-]
PPy,Metronidazole,6.17,NaN,5.36,https://doi.org/10.1007/s40090-019-0190-7,,CC1=NC=C(N1CCO)[N+](=O)[O-]
Alginate-immobilized biomass,Congo Red,1.0,100,355.48,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
Alginate-immobilized biomass,Congo Red,2.0,100,380.56,Present work,,C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+]
